Site	Age	Oumbo	Cprae	Numbo	Ntrump	Cgrims	Cwuel	Cmundu	Gbecc
522	31.961	0.76	0.96	0.87					
522	32.073	0.82							
522	32.17	0.88							
522	32.279	0.81		0.81					
522	32.408	0.83	0.98						
522	32.505	0.81							
522	32.616	0.79							
522	32.653	0.81	1.03						
522	32.698	0.83	0.95						
522	32.742	0.81	1.01						
522	32.783	0.79	0.97						
522	32.831	0.78	0.99						
522	32.874	0.81							
522	32.918	0.82	1.02						
522	32.958	0.83							
522	33.005	0.81	1.01						
522	33.056	0.83	1						
522	33.098	0.86							
522	33.125	0.79							
522	33.2	0.82		0.78					
522	33.22	0.81							
522	33.233	0.82							
522	33.26	0.84	0.99						
522	33.275	0.81	1						
522	33.301	0.81	0.99						
522	33.32	0.82		0.76					
522	33.337	0.81							
522	33.354	0.78							
522	33.37	0.79							
522	33.387	0.83							
522	33.407	0.84	0.95						
522	33.42	0.76	0.99						
522	33.437	0.83	0.97						
522	33.485		0.97						
522	33.575	0.83							
522	33.592	0.82							
522	33.616	0.84	1.01						
522	33.645	0.75							
522	33.756	0.83	0.97						
522	33.788	0.85		1.01					
522	33.819	0.87							
522	33.85	0.83	0.95						
522	33.881	0.85							
522	33.91	0.9							
522	33.935	0.79							
522	33.973	0.86	1.04						
522	34.001	0.84							
522	34.034	0.84							
522	34.064	0.86							
522	34.099	0.81	0.97						
522	34.135	0.82	0.96						
522	34.219	0.89	0.98	0.82					
522	34.371	0.83	0.98						
522	34.44	0.82	0.99						
523	36.498				0.76				
523	36.505				0.77				
523	36.672				0.77				
523	36.68				0.79	0.91			
523	36.687					0.91			
523	36.694				0.76				
523	36.701				0.82				
523	36.704				0.79				
523	36.711	0.8			0.76	0.96			
523	36.711				0.78				
523	36.718	0.76			0.8	0.87			
523	36.725				0.78				
523	36.732				0.71				
523	36.74				0.76	0.77			
523	36.747				0.79	0.99			
523	36.754				0.77				
523	36.761	0.74			0.75				
523	36.768				0.79				
523	36.775				0.82				
523	36.782	0.74			0.83				
523	36.79				0.8				
523	36.797	0.75							
523	36.804				0.77				
525	55.427				0.8				
525	55.441				0.82				
525	55.454				0.81				
525	55.457				0.81				
525	55.475				0.82				
525	55.491				0.84				
525	55.519	0.93			0.77				
525	55.54	0.89							
573	0.43						1.16		
573	0.75			0.76					
573	1.5						1.2		
573	2.08							1.08	
573	3.71			0.73					
573	4.2			0.76					
573	4.75			0.72			1.08		
573	6.1			0.69			1.08		
573	6.31			0.68					
573	9.94							1.02	
573	11.11							1.07	
573	12.14							1.05	
573	12.3						1.04		
573	13.3							1.01	
573	14.18						1.03	1.05	
573	19.79							1.04	
573	21.82			0.73					
573	22.33							0.89	
573	24.49	0.8						0.95	
573	24.78	0.81							
573	27.91	0.84							
573	29.23	0.82							
573	30.05							1.02	
573	30.42	0.79							
573	30.73	0.78							
573	31.21	0.8							
573	31.47	0.73							
573	31.65	0.85							
573	32.18	0.86							
573	32.54	0.83							
573	32.8	0.83							
573	34	0.71							
573	34.87	0.79							
608	0								
608	0.427						1.28		
608	0.862						1.26		
608	1.193						1.27		
608	1.399						1.25		
608	1.605			0.8					
608	1.971						1.23		
608	2.185			0.89					
608	2.292			0.85					
608	2.505			0.84			1.23		
608	2.917						1.29		
608	3.122						1.21		
608	3.58						1.21		
608	3.955			0.79					
608	5.057	0.87							
608	5.454	0.8							
608	6.199	0.75							
608	6.575			0.69					
608	6.971	0.71							
608	7.797	0.81							
608	8.428	0.87							
608	8.909	0.82							
608	9.982	0.8							
608	10.345	0.85							
689	31.911	1.03		0.85					
689	32.558	0.93		0.82					
689	32.881	0.89	1.09						
689	33.418	0.88							
689	33.903	0.91							
689	34.095	0.91	1.14						
689	34.288	0.91							
689	34.481	0.9							
689	34.669	0.9							
689	34.808		1.08						
689	35.677		1.1						
689	35.971		1.09						
689	36.406		1.07						
689	36.442		1.02						
689	36.479		1.1						
689	36.487		1.07						
689	36.56	0.95	1.1						
689	36.581		1.05						
689	36.62		1.06	0.85					
689	36.666		1.06						
689	36.705		1.09						
689	36.716	0.93	1.07	0.92					
689	36.73	0.97	1.1	0.96					
689	36.743		1.04						
689	36.783		1.1						
689	36.791		1.09						
689	36.868	0.93							
689	36.893	0.89	0.98						
689	36.933	0.86	1.07						
689	36.978	0.92	1.07						
689	37.012	0.92	1.05						
689	37.033	0.95	1.1						
689	37.049	0.92	1.07						
689	37.101	0.92							
689	37.245	0.95							
689	37.291	0.9							
689	37.33	0.88							
689	37.36	0.98							
689	37.368	0.9							
689	37.407	0.89	1.03						
689	37.466	0.95							
689	37.466	0.97							
689	37.637								
689	37.947	0.9	1.07						
689	38.586	0.91	1.07						
689	38.586		1.11						
689	39.471		1.06						
689	39.776		1						
689	41.367	0.94							
689	41.924	0.93	1.05						
689	42.55	0.91	1.08	0.93					
689	43.386	0.91	1.11						
689	43.715	0.93	1.15	0.88					
689	44.342	0.91		0.91					
689	44.649	0.93		0.9					
689	44.955	0.97							
689	45.384	0.95	1.1						
689	45.455	0.91							
689	45.69	0.95	1.09						
689	45.996	0.94	1.11						
689	47.075	0.96							
689	47.203	0.94	1.12						
689	48.232	0.99		0.89					
689	48.39	1		0.91					
689	48.39	0.96		0.92					
689	48.605	0.87							
689	53.888	0.89	1.06	0.8					
689	54.853	0.97	1.06	0.79					
689	55.07			0.8					
689	64.908			0.9					
689	64.962			0.92					
689	73.77								
689	74.33								
689	74.49								
690	51.72	0.92							
690	51.743	0.71							
690	51.805	0.94							
690	52.157								
690	52.412	0.84							
690	54.69				0.81				
690	54.729								
690	54.767	0.87							
690	54.805	0.87							
690	54.843	0.86							
690	54.881				0.81				
690	54.926				0.76				
690	54.937	0.89							
690	54.974				0.8				
690	55.022				0.79				
690	55.059				0.79				
690	55.095				0.79				
690	55.132								
690	55.185				0.8				
690	55.221				0.82				
690	55.257	0.91			0.8				
690	55.294				0.81				
690	55.33				0.83				
690	55.366				0.8				
690	55.403	0.9							
690	55.42	0.89							
690	55.456				0.82				
690	55.501				0.8				
690	55.542				0.94				
690	55.584				0.98				
690	55.601								
690	55.612								
690	55.654								
690	55.696								
690	55.739								
690	55.79	0.98							
690	55.82				0.8				
690	55.86				0.84				
690	55.89								
690	55.9				0.83				
690	55.92				0.83				
690	55.98				0.82				
690	56.07				0.8				
690	56.16				0.83				
690	56.19	0.94							
690	56.26				0.82				
690	56.33				0.83				
690	56.4				0.83				
690	56.57				0.81				
690	56.61				0.8				
690	56.73				0.84				
690	56.83				0.83				
690	56.98				0.83				
690	57.05				0.88				
690	57.1	0.97							
690	57.22								
690	57.34				0.82				
690	57.47				0.83				
690	57.89				0.84				
690	58.07								1.16
690	58.39								1.13
690	59.77				0.84				1.15
690	60.12				0.88				
690	60.43								1.13
690	60.75								1.14
690	61								1.2
690	61.16				0.87				1.2
690	61.41				0.86				
690	61.67				0.86				
690	61.94								1.2
690	62.32								1.2
690	62.68								
690	62.7				0.85				
690	63.35								1.2
690	63.63								1.23
690	64.16				0.9				
690									1.31
690	64.5				0.87				
690	64.66				0.92				
690	64.9				0.93				
690	64.9				0.91				
690	65.08				1.02				1.48
690	65.24				0.96				
690	65.41				0.95				
690	65.41				0.94				
690	65.68				0.98				
690	65.86				0.95				1.39
690	66.55				1.07				1.42
690	66.89				0.94				
690	67.25				0.95				1.4
